Word,Frequency
the,1
be,0.538147937
and,0.450341461
of,0.4310171
a,0.42130184
in,0.268153941
to,0.235836621
have,0.137156799
to,0.115407041
it,0.116164129
I,0.121311025
that,0.094684784
for,0.087409127
you,0.077663799
he,0.069300506
with,0.058293267
on,0.048674193
do,0.052969322
say,0.020933848
this,0.019485353
they,0.018522706
at,0.013757541
but,0.014201693
we,0.016350596
his,0.015415146
from,0.007348782
that,0.011070342
not,0.007490654
n't,0.006526207
